,ND##LENGTH##MILLIMETERS,D##LENGTH##MILLIMETERS
D=3,3,3
D=4,4,4
D=5,5,5
D=6,6,6
D=7,7,8
D=8,8,8
D=9,9,10
D=10,10,10
D=11,11,12
D=12,12,12
D=13,13,14
D=14,14,14
D=15,15,16
D=16,16,16
D=17,17,18
D=18,18,18
D=19,19,20
D=20,20,20
D=21,21,22
D=22,22,22
D=23,23,24
D=24,24,24
D=25,25,24
D=26,26,27
D=27,27,27
D=28,28,27
D=29,29,30
D=30,30,30
D=31,31,30
D=32,32,33
D=33,33,33
D=34,34,33
D=35,35,36
D=36,36,36
D=37,37,36
D=38,38,39
D=39,39,39
D=40,40,39
D=41,41,42
D=42,42,42
D=43,43,42
D=44,44,45
D=45,45,45
D=46,46,45
D=47,47,48
D=48,48,48
D=49,49,48
D=50,50,52
D=51,51,52
D=52,52,52
D=53,53,52
D=54,54,56
D=55,55,56
D=56,56,56
D=57,57,56
D=58,58,56
D=59,59,56
D=60,60,64
D=61,61,64
D=62,62,64
D=63,63,64
D=64,64,64
