,D##LENGTH##MILLIMETERS,LG##LENGTH##MILLIMETERS,l##LENGTH##MILLIMETERS
M3 x ]0[,3,0,6
M3 x ]2[,3,2,8
M3 x ]4[,3,4,10
M3 x ]6[,3,6,12
M3 x ]8[,3,8,16
M3 x ]10[,3,10,16
M3 x ]12[,3,12,18
M3 x ]14[,3,14,20
M3 x ]16[,3,16,22
M3 x ]18[,3,18,25
M3 x ]20[,3,20,30
M3 x ]22[,3,22,30
M3 x ]25[,3,25,35
M3 x ]30[,3,30,40
M3 x ]35[,3,35,50
M3 x ]40[,3,40,50
M3 x ]45[,3,45,60
M3 x ]50[,3,50,60
M4 x ]0[,4,0,8
M4 x ]2[,4,2,10
M4 x ]4[,4,4,12
M4 x ]6[,4,6,14
M4 x ]8[,4,8,16
M4 x ]10[,4,10,18
M4 x ]12[,4,12,20
M4 x ]14[,4,14,22
M4 x ]16[,4,16,25
M4 x ]18[,4,18,30
M4 x ]20[,4,20,30
M4 x ]22[,4,22,30
M4 x ]25[,4,25,35
M4 x ]30[,4,30,40
M4 x ]35[,4,35,45
M4 x ]40[,4,40,50
M4 x ]45[,4,45,55
M4 x ]50[,4,50,60
M4 x ]55[,4,55,65
M4 x ]60[,4,60,70
M4 x ]65[,4,65,75
M4 x ]70[,4,70,80
M5 x ]0[,5,0,10
M5 x ]2[,5,2,12
M5 x ]4[,5,4,14
M5 x ]6[,5,6,16
M5 x ]8[,5,8,18
M5 x ]10[,5,10,20
M5 x ]12[,5,12,22
M5 x ]14[,5,14,25
M5 x ]16[,5,16,30
M5 x ]18[,5,18,30
M5 x ]20[,5,20,30
M5 x ]22[,5,22,35
M5 x ]25[,5,25,35
M5 x ]30[,5,30,40
M5 x ]35[,5,35,45
M5 x ]40[,5,40,50
M5 x ]45[,5,45,55
M5 x ]50[,5,50,60
M5 x ]55[,5,55,65
M5 x ]60[,5,60,70
M5 x ]65[,5,65,80
M5 x ]70[,5,70,80
M5 x ]75[,5,75,90
M5 x ]80[,5,80,90
M5 x ]85[,5,85,100
M5 x ]90[,5,90,100
M6 x ]0[,6,0,12
M6 x ]2[,6,2,14
M6 x ]4[,6,4,16
M6 x ]6[,6,6,18
M6 x ]8[,6,8,20
M6 x ]10[,6,10,22
M6 x ]12[,6,12,25
M6 x ]14[,6,14,28
M6 x ]16[,6,16,28
M6 x ]18[,6,18,30
M6 x ]20[,6,20,35
M6 x ]22[,6,22,35
M6 x ]25[,6,25,40
M6 x ]30[,6,30,45
M6 x ]35[,6,35,50
M6 x ]40[,6,40,55
M6 x ]45[,6,45,60
M6 x ]50[,6,50,65
M6 x ]55[,6,55,70
M6 x ]60[,6,60,75
M6 x ]65[,6,65,80
M6 x ]70[,6,70,85
M6 x ]75[,6,75,90
M6 x ]80[,6,80,100
M6 x ]85[,6,85,100
M6 x ]90[,6,90,110
M6 x ]95[,6,95,110
M6 x ]100[,6,100,120
M6 x ]110[,6,110,130
M6 x ]120[,6,120,140
M6 x ]130[,6,130,150
M8 x ]0[,8,0,16
M8 x ]2[,8,2,18
M8 x ]4[,8,4,20
M8 x ]6[,8,6,22
M8 x ]8[,8,8,25
M8 x ]10[,8,10,25
M8 x ]12[,8,12,30
M8 x ]14[,8,14,30
M8 x ]16[,8,16,35
M8 x ]18[,8,18,35
M8 x ]20[,8,20,35
M8 x ]22[,8,22,40
M8 x ]25[,8,25,40
M8 x ]30[,8,30,45
M8 x ]35[,8,35,50
M8 x ]40[,8,40,55
M8 x ]45[,8,45,60
M8 x ]50[,8,50,65
M8 x ]55[,8,55,70
M8 x ]60[,8,60,75
M8 x ]65[,8,65,80
M8 x ]70[,8,70,85
M8 x ]75[,8,75,90
M8 x ]80[,8,80,95
M8 x ]85[,8,85,100
