;Nominal Diameter##LENGTH##MILLIMETERS;Length##LENGTH##MILLIMETERS;Shank##OTHER##;Large Washer##OTHER##;Material##OTHER##;Thread Material##OTHER##
M3 x 3, Steel galvanized;3;3;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 4, Steel galvanized;3;4;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 5, Steel galvanized;3;5;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 6, Steel galvanized;3;6;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 8, Steel galvanized;3;8;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 10, Steel galvanized;3;10;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 12, Steel galvanized;3;12;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 16, Steel galvanized;3;16;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 18, Steel galvanized;3;18;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 20, Steel galvanized;3;20;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 22, Steel galvanized;3;22;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 25, Steel galvanized;3;25;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 30, Steel galvanized;3;30;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 35, Steel galvanized;3;35;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 40, Steel galvanized;3;40;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 50, Steel galvanized;3;50;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 60, Steel galvanized;3;60;0;1;Steel galvanized;Steel galvanized, M3 thread
M3 x 60 w/shank, Steel galvanized;3;60;1;1;Steel galvanized;Steel galvanized, M3 thread
M4 x 4, Steel galvanized;4;4;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 6, Steel galvanized;4;6;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 8, Steel galvanized;4;8;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 10, Steel galvanized;4;10;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 12, Steel galvanized;4;12;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 14, Steel galvanized;4;14;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 16, Steel galvanized;4;16;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 18, Steel galvanized;4;18;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 20, Steel galvanized;4;20;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 22, Steel galvanized;4;22;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 25, Steel galvanized;4;25;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 30, Steel galvanized;4;30;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 35, Steel galvanized;4;35;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 40, Steel galvanized;4;40;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 45, Steel galvanized;4;45;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 50, Steel galvanized;4;50;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 55, Steel galvanized;4;55;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 55 w/shank, Steel galvanized;4;55;1;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 60, Steel galvanized;4;60;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 60 w/shank, Steel galvanized;4;60;1;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 65, Steel galvanized;4;65;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 65 w/shank, Steel galvanized;4;65;1;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 70, Steel galvanized;4;70;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 70 w/shank, Steel galvanized;4;70;1;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 75, Steel galvanized;4;75;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 75 w/shank, Steel galvanized;4;75;1;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 80, Steel galvanized;4;80;0;1;Steel galvanized;Steel galvanized, M4 thread
M4 x 80 w/shank, Steel galvanized;4;80;1;1;Steel galvanized;Steel galvanized, M4 thread
M5 x 6, Steel galvanized;5;6;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 8, Steel galvanized;5;8;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 10, Steel galvanized;5;10;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 12, Steel galvanized;5;12;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 14, Steel galvanized;5;14;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 16, Steel galvanized;5;16;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 18, Steel galvanized;5;18;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 20, Steel galvanized;5;20;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 22, Steel galvanized;5;22;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 25, Steel galvanized;5;25;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 30, Steel galvanized;5;30;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 35, Steel galvanized;5;35;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 40, Steel galvanized;5;40;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 45, Steel galvanized;5;45;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 50, Steel galvanized;5;50;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 55, Steel galvanized;5;55;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 55 w/shank, Steel galvanized;5;55;1;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 60, Steel galvanized;5;60;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 60 w/shank, Steel galvanized;5;60;1;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 65, Steel galvanized;5;65;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 65 w/shank, Steel galvanized;5;65;1;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 70, Steel galvanized;5;70;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 70 w/shank, Steel galvanized;5;70;1;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 80, Steel galvanized;5;80;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 80 w/shank, Steel galvanized;5;80;1;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 90, Steel galvanized;5;90;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 90 w/shank, Steel galvanized;5;90;1;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 100, Steel galvanized;5;100;0;1;Steel galvanized;Steel galvanized, M5 thread
M5 x 100 w/shank, Steel galvanized;5;100;1;1;Steel galvanized;Steel galvanized, M5 thread
M6 x 6, Steel galvanized;6;6;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 8, Steel galvanized;6;8;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 10, Steel galvanized;6;10;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 12, Steel galvanized;6;12;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 14, Steel galvanized;6;14;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 16, Steel galvanized;6;16;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 18, Steel galvanized;6;18;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 20, Steel galvanized;6;20;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 22, Steel galvanized;6;22;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 25, Steel galvanized;6;25;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 28, Steel galvanized;6;28;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 30, Steel galvanized;6;30;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 35, Steel galvanized;6;35;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 40, Steel galvanized;6;40;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 45, Steel galvanized;6;45;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 50, Steel galvanized;6;50;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 55, Steel galvanized;6;55;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 55 w/shank, Steel galvanized;6;55;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 60, Steel galvanized;6;60;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 60 w/shank, Steel galvanized;6;60;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 65, Steel galvanized;6;65;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 65 w/shank, Steel galvanized;6;65;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 70, Steel galvanized;6;70;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 70 w/shank, Steel galvanized;6;70;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 75, Steel galvanized;6;75;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 75 w/shank, Steel galvanized;6;75;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 80, Steel galvanized;6;80;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 80 w/shank, Steel galvanized;6;80;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 85, Steel galvanized;6;85;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 85 w/shank, Steel galvanized;6;85;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 90, Steel galvanized;6;90;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 90 w/shank, Steel galvanized;6;90;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 100, Steel galvanized;6;100;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 100 w/shank, Steel galvanized;6;100;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 110, Steel galvanized;6;110;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 110 w/shank, Steel galvanized;6;110;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 120, Steel galvanized;6;120;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 120 w/shank, Steel galvanized;6;120;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 130, Steel galvanized;6;130;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 130 w/shank, Steel galvanized;6;130;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 140, Steel galvanized;6;140;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 140 w/shank, Steel galvanized;6;140;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 150, Steel galvanized;6;150;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 150 w/shank, Steel galvanized;6;150;1;1;Steel galvanized;Steel galvanized, M6 thread
